method,environment,attack,seed,round,eval_return_mean,eval_return_std
FedAvg,Adversary,adaptive,1024,0,-22.69807368392882,12.102420108499484
FedAvg,Adversary,adaptive,1024,5,-19.59639305895879,7.8296615037197235
FedAvg,Adversary,adaptive,1024,10,-18.014875525515524,5.453264911422735
FedAvg,Adversary,adaptive,1024,15,-17.342312045778602,4.423045861349146
FedAvg,Adversary,adaptive,1024,20,-17.03418132944884,4.346884766795801
FedAvg,Adversary,adaptive,1024,25,-16.44123955759792,4.853621799504887
FedAvg,Adversary,adaptive,1024,30,-16.775675293997885,5.0675224455246415
FedAvg,Adversary,adaptive,1024,35,-16.7844169054396,4.826976581090754
FedAvg,Adversary,adaptive,1024,40,-16.74683703597215,4.724411992108211
FedAvg,Adversary,adaptive,1024,45,-16.877953582242476,4.95824142936721
FedAvg,Adversary,adaptive,1024,50,-16.612988554358363,5.595756604064866
FedAvg,Adversary,adaptive,1024,55,-17.07897246652424,5.151264887885947
FedAvg,Adversary,adaptive,1024,60,-17.447839568619244,5.010423652746278
FedAvg,Adversary,adaptive,1024,65,-16.882166772914054,5.839656549843506
FedAvg,Adversary,adaptive,1024,70,-16.865893678537503,4.716163299572426
FedAvg,Adversary,adaptive,1024,75,-17.972168437561017,5.996556749766359
FedAvg,Adversary,adaptive,1024,80,-18.15740342729506,5.640629187408919
FedAvg,Adversary,adaptive,1024,85,-18.501361601226552,5.565437470650812
FedAvg,Adversary,adaptive,1024,90,-19.13897655995381,5.7804352498029035
FedAvg,Adversary,adaptive,1024,95,-18.86640932652467,5.3875918996080046
FedAvg,Adversary,adaptive,1024,100,-18.338787540886045,5.814943285031536
FedAvg,Adversary,adaptive,1024,105,-18.887526224146637,5.994895127137216
FedAvg,Adversary,adaptive,1024,110,-19.3188167481928,6.611869734873682
FedAvg,Adversary,adaptive,1024,115,-19.83734003035483,6.522685952946859
FedAvg,Adversary,adaptive,1024,120,-19.29935816652195,5.866069251256287
FedAvg,Adversary,adaptive,1024,125,-19.525206648572773,6.07042388075844
FedAvg,Adversary,adaptive,1024,130,-19.13592092168769,6.397524021050513
FedAvg,Adversary,adaptive,1024,135,-19.222857519895364,6.2483156170061935
FedAvg,Adversary,adaptive,1024,140,-19.74211334482235,7.276836323607236
FedAvg,Adversary,adaptive,1024,145,-20.671116436718137,7.85552325526041
FedAvg,Adversary,adaptive,1024,150,-22.085075778854318,8.119618850048278
FedAvg,Adversary,adaptive,1024,155,-19.974829219510106,7.422479329639014
FedAvg,Adversary,adaptive,1024,160,-19.68856802369701,6.964479077973663
FedAvg,Adversary,adaptive,1024,165,-20.027615440347677,7.392694073613832
FedAvg,Adversary,adaptive,1024,170,-19.40652393332291,6.719811195572267
FedAvg,Adversary,adaptive,1024,175,-20.2693896117191,7.292636861358158
FedAvg,Adversary,adaptive,1024,180,-19.5864942975651,7.58528708659451
FedAvg,Adversary,adaptive,1024,185,-20.330157322110697,8.550438720893379
FedAvg,Adversary,adaptive,1024,190,-20.404316316925815,7.6266051757308695
FedAvg,Adversary,adaptive,1024,195,-20.35531839082206,6.987231775174654
FedAvg,Adversary,adaptive,1024,0,-22.58576509550893,11.905136006046485
FedAvg,Adversary,adaptive,1024,5,-20.029445199759994,8.451052065019653
FedAvg,Adversary,adaptive,1024,10,-18.635806252803565,6.687284971696422
FedAvg,Adversary,adaptive,1024,15,-17.112447131624712,5.939574853784322
FedAvg,Adversary,adaptive,1024,20,-16.73037029296779,5.429748902182896
FedAvg,Adversary,adaptive,1024,25,-16.5857709957016,5.263751449564628
FedAvg,Adversary,adaptive,1024,30,-15.910374331059325,5.770900561902136
FedAvg,Adversary,adaptive,1024,35,-16.05947116475878,5.6303703988373295
FedAvg,Adversary,adaptive,1024,40,-16.369138748922992,5.0863657806530345
FedAvg,Adversary,adaptive,1024,45,-15.820924559318092,5.038727247329209
FedAvg,Adversary,adaptive,1024,50,-16.685203323638653,5.089759290327058
FedAvg,Adversary,adaptive,1024,55,-16.092663676553165,4.90309244967826
FedAvg,Adversary,adaptive,1024,60,-16.607303143408338,5.722916794624364
FedAvg,Adversary,adaptive,1024,65,-15.759159292442984,5.534386925702707
FedAvg,Adversary,adaptive,1024,70,-17.07996900218593,6.066056302648866
FedAvg,Adversary,adaptive,1024,75,-16.837118441491587,5.8198821390576505
FedAvg,Adversary,adaptive,1024,80,-18.205223334206455,6.229035749098266
FedAvg,Adversary,adaptive,1024,85,-18.180534703473587,6.553381001146841
FedAvg,Adversary,adaptive,1024,90,-17.630327185282535,5.9034413411530675
FedAvg,Adversary,adaptive,1024,95,-17.661256114138645,5.967337173011163
FedAvg,Adversary,adaptive,1024,100,-17.416864483620678,5.8948156760583625
FedAvg,Adversary,adaptive,1024,105,-17.26428879466291,6.253078325040343
FedAvg,Adversary,adaptive,1024,110,-17.629339104647915,6.004509522519206
FedAvg,Adversary,adaptive,1024,115,-16.691557183621676,5.726153042618955
FedAvg,Adversary,adaptive,1024,120,-16.595357236366166,5.813425740596868
FedAvg,Adversary,adaptive,1024,125,-16.71117057544434,5.919474186288229
FedAvg,Adversary,adaptive,1024,130,-17.646525019277735,6.626534178020188
FedAvg,Adversary,adaptive,1024,135,-18.467051166291768,7.28176676109403
FedAvg,Adversary,adaptive,1024,140,-19.22219765376745,7.8007131360213995
FedAvg,Adversary,adaptive,1024,145,-18.93550237819571,7.93891355875518
FedAvg,Adversary,adaptive,1024,150,-18.515327060695867,8.308631483763197
FedAvg,Adversary,adaptive,1024,155,-18.260292987440053,7.851639739766268
FedAvg,Adversary,adaptive,1024,160,-19.96981441276491,8.757974317241292
FedAvg,Adversary,adaptive,1024,165,-20.007365214638266,8.567901085679829
FedAvg,Adversary,adaptive,1024,170,-19.87344242754859,7.407662162062412
FedAvg,Adversary,adaptive,1024,175,-20.0499075081193,7.8679727620860245
FedAvg,Adversary,adaptive,1024,180,-18.487380576255216,7.9602896262426395
FedAvg,Adversary,adaptive,1024,185,-18.824038923013823,7.155652081215859
FedAvg,Adversary,adaptive,1024,190,-18.356365048366367,6.821696488622557
FedAvg,Adversary,adaptive,1024,195,-17.93986143925035,7.070408506377758
FedAvg,Adversary,adaptive,123,0,-21.210342778577264,11.25076763318362
FedAvg,Adversary,adaptive,123,5,-20.166513860819766,9.865730208800137
FedAvg,Adversary,adaptive,123,10,-20.402208731202386,8.724973814984669
FedAvg,Adversary,adaptive,123,15,-19.63523358035925,6.395879700484269
FedAvg,Adversary,adaptive,123,20,-18.108496571837087,6.018432087185271
FedAvg,Adversary,adaptive,123,25,-17.39818543732993,5.400297650379009
FedAvg,Adversary,adaptive,123,30,-17.254478982543315,5.585627241282051
FedAvg,Adversary,adaptive,123,35,-16.77994924795714,5.492150042901166
