environment,attack,byz_fraction,aggregator,seed,eval_return_mean
simple_adversary_v3,none,0.0,fedavg,42,-16.542605323626198
simple_adversary_v3,none,0.0,fedavg,123,-14.937732579093815
simple_adversary_v3,none,0.0,fedavg,456,-13.95235995698287
simple_adversary_v3,none,0.0,fedavg,789,-14.079476007800558
simple_adversary_v3,none,0.0,fedavg,1024,-15.48003525331712
simple_adversary_v3,none,0.0,trimmed_mean,42,-15.002434746419809
simple_adversary_v3,none,0.0,trimmed_mean,123,-14.640394799449563
simple_adversary_v3,none,0.0,trimmed_mean,456,-13.941630334731732
simple_adversary_v3,none,0.0,trimmed_mean,789,-14.224785246662666
simple_adversary_v3,none,0.0,trimmed_mean,1024,-15.1789095659614
simple_adversary_v3,none,0.0,geometric_median,42,-14.135397083054968
simple_adversary_v3,none,0.0,geometric_median,123,-14.549741415248487
simple_adversary_v3,none,0.0,geometric_median,456,-13.72010140109637
simple_adversary_v3,none,0.0,geometric_median,789,-13.229470357451875
simple_adversary_v3,none,0.0,geometric_median,1024,-15.141901755308483
simple_adversary_v3,none,0.0,krum,42,-16.051885081016906
simple_adversary_v3,none,0.0,krum,123,-15.073208012184882
simple_adversary_v3,none,0.0,krum,456,-15.409874618622492
simple_adversary_v3,none,0.0,krum,789,-14.359150935148987
simple_adversary_v3,none,0.0,krum,1024,-14.363480291526828
simple_adversary_v3,none,0.0,multi_krum,42,-16.51540760784652
simple_adversary_v3,none,0.0,multi_krum,123,-15.275081719167842
simple_adversary_v3,none,0.0,multi_krum,456,-14.60771608953945
simple_adversary_v3,none,0.0,multi_krum,789,-13.877079250091302
simple_adversary_v3,none,0.0,multi_krum,1024,-15.674912442274982
simple_adversary_v3,none,0.0,fltrust,42,-15.168458038940182
simple_adversary_v3,none,0.0,fltrust,123,-14.94631786903086
simple_adversary_v3,none,0.0,fltrust,456,-13.87782702048052
simple_adversary_v3,none,0.0,fltrust,789,-14.120565973733122
simple_adversary_v3,none,0.0,fltrust,1024,-15.030789347243225
simple_adversary_v3,none,0.0,flame,42,-15.169460215528044
simple_adversary_v3,none,0.0,flame,123,-15.720637003811529
simple_adversary_v3,none,0.0,flame,456,-14.401329323688788
simple_adversary_v3,none,0.0,flame,789,-15.47606275641528
simple_adversary_v3,none,0.0,flame,1024,-13.928281414711492
simple_adversary_v3,none,0.0,foolsgold,42,-14.86060716832622
simple_adversary_v3,none,0.0,foolsgold,123,-14.86191716699229
simple_adversary_v3,none,0.0,foolsgold,456,-14.726706160037534
simple_adversary_v3,none,0.0,foolsgold,789,-14.285582065597485
simple_adversary_v3,none,0.0,foolsgold,1024,-15.017594614337757
simple_adversary_v3,none,0.0,trust_weighted,42,-15.242030271207536
simple_adversary_v3,none,0.0,trust_weighted,123,-13.83896909761978
simple_adversary_v3,none,0.0,trust_weighted,456,-14.16268377379723
simple_adversary_v3,none,0.0,trust_weighted,789,-14.792490333227883
simple_adversary_v3,none,0.0,trust_weighted,1024,-15.643517801316468
simple_adversary_v3,sign_flip,0.17,fedavg,42,-15.148113950506277
simple_adversary_v3,sign_flip,0.17,fedavg,123,-16.50109468758803
simple_adversary_v3,sign_flip,0.17,fedavg,456,-14.873239413428326
simple_adversary_v3,sign_flip,0.17,fedavg,789,-14.309844224275398
simple_adversary_v3,sign_flip,0.17,fedavg,1024,-14.893671620415692
simple_adversary_v3,sign_flip,0.17,trimmed_mean,42,-15.171374513873614
simple_adversary_v3,sign_flip,0.17,trimmed_mean,123,-14.951724629501989
simple_adversary_v3,sign_flip,0.17,trimmed_mean,456,-15.524628866844496
simple_adversary_v3,sign_flip,0.17,trimmed_mean,789,-14.04487353352733
simple_adversary_v3,sign_flip,0.17,trimmed_mean,1024,-15.529198681262844
simple_adversary_v3,sign_flip,0.17,geometric_median,42,-14.899046805281833
simple_adversary_v3,sign_flip,0.17,geometric_median,123,-14.590424758809974
simple_adversary_v3,sign_flip,0.17,geometric_median,456,-13.341294073233284
simple_adversary_v3,sign_flip,0.17,geometric_median,789,-14.074095517554188
simple_adversary_v3,sign_flip,0.17,geometric_median,1024,-14.505047990786236
simple_adversary_v3,sign_flip,0.17,krum,42,-16.579441965895768
simple_adversary_v3,sign_flip,0.17,krum,123,-16.267622760322755
simple_adversary_v3,sign_flip,0.17,krum,456,-15.656848153871335
simple_adversary_v3,sign_flip,0.17,krum,789,-14.46863754542521
simple_adversary_v3,sign_flip,0.17,krum,1024,-13.710117601777284
simple_adversary_v3,sign_flip,0.17,multi_krum,42,-14.591677925200283
simple_adversary_v3,sign_flip,0.17,multi_krum,123,-16.03575476690446
simple_adversary_v3,sign_flip,0.17,multi_krum,456,-14.9127458738323
simple_adversary_v3,sign_flip,0.17,multi_krum,789,-13.288477622152612
simple_adversary_v3,sign_flip,0.17,multi_krum,1024,-15.24096082660054
simple_adversary_v3,sign_flip,0.17,fltrust,42,-15.29842241233846
simple_adversary_v3,sign_flip,0.17,fltrust,123,-15.594556766473756
simple_adversary_v3,sign_flip,0.17,fltrust,456,-14.435302624677693
simple_adversary_v3,sign_flip,0.17,fltrust,789,-15.45177551950837
simple_adversary_v3,sign_flip,0.17,fltrust,1024,-15.32160684344406
simple_adversary_v3,sign_flip,0.17,flame,42,-14.664895989994298
simple_adversary_v3,sign_flip,0.17,flame,123,-14.940791423006546
simple_adversary_v3,sign_flip,0.17,flame,456,-15.249715565526577
simple_adversary_v3,sign_flip,0.17,flame,789,-14.00880745577942
simple_adversary_v3,sign_flip,0.17,flame,1024,-14.03959533207519
simple_adversary_v3,sign_flip,0.17,foolsgold,42,-21.456947411234182
simple_adversary_v3,sign_flip,0.17,foolsgold,123,-22.24121273010229
simple_adversary_v3,sign_flip,0.17,foolsgold,456,-23.676801427360857
simple_adversary_v3,sign_flip,0.17,foolsgold,789,-27.11334167962523
simple_adversary_v3,sign_flip,0.17,foolsgold,1024,-27.99243163259351
simple_adversary_v3,sign_flip,0.17,trust_weighted,42,-16.699489572527586
simple_adversary_v3,sign_flip,0.17,trust_weighted,123,-15.243071690981598
simple_adversary_v3,sign_flip,0.17,trust_weighted,456,-14.297649807660829
simple_adversary_v3,sign_flip,0.17,trust_weighted,789,-14.003522079182456
simple_adversary_v3,sign_flip,0.17,trust_weighted,1024,-15.435390786939925
simple_adversary_v3,sign_flip,0.5,fedavg,42,-27.575403849741413
simple_adversary_v3,sign_flip,0.5,fedavg,123,-25.838168771135187
simple_adversary_v3,sign_flip,0.5,fedavg,456,-23.77634426753625
simple_adversary_v3,sign_flip,0.5,fedavg,789,-33.75899719257459
simple_adversary_v3,sign_flip,0.5,fedavg,1024,-23.942973151116995
simple_adversary_v3,sign_flip,0.5,trimmed_mean,42,-25.81948740294784
simple_adversary_v3,sign_flip,0.5,trimmed_mean,123,-24.24696286024202
simple_adversary_v3,sign_flip,0.5,trimmed_mean,456,-25.7335454218038
simple_adversary_v3,sign_flip,0.5,trimmed_mean,789,-28.172727647756105
simple_adversary_v3,sign_flip,0.5,trimmed_mean,1024,-36.61232412332981
simple_adversary_v3,sign_flip,0.5,geometric_median,42,-18.17523194240659
simple_adversary_v3,sign_flip,0.5,geometric_median,123,-23.244233822012923
simple_adversary_v3,sign_flip,0.5,geometric_median,456,-20.82585597130245
simple_adversary_v3,sign_flip,0.5,geometric_median,789,-26.4826294951783
simple_adversary_v3,sign_flip,0.5,geometric_median,1024,-28.650535100787813
simple_adversary_v3,sign_flip,0.5,krum,42,-26.040187368782178
simple_adversary_v3,sign_flip,0.5,krum,123,-37.02776502397346
simple_adversary_v3,sign_flip,0.5,krum,456,-22.392197560544915
simple_adversary_v3,sign_flip,0.5,krum,789,-23.39032209846539
simple_adversary_v3,sign_flip,0.5,krum,1024,-56.74324858384016
simple_adversary_v3,sign_flip,0.5,multi_krum,42,-25.993616586491157
simple_adversary_v3,sign_flip,0.5,multi_krum,123,-24.87875116183549
simple_adversary_v3,sign_flip,0.5,multi_krum,456,-26.784910173379945
simple_adversary_v3,sign_flip,0.5,multi_krum,789,-22.553886435729737
simple_adversary_v3,sign_flip,0.5,multi_krum,1024,-33.292821415908975
simple_adversary_v3,sign_flip,0.5,fltrust,42,-22.430117797420035
simple_adversary_v3,sign_flip,0.5,fltrust,123,-23.340422180036715
simple_adversary_v3,sign_flip,0.5,fltrust,456,-23.05687000380904
simple_adversary_v3,sign_flip,0.5,fltrust,789,-22.85306524922365
simple_adversary_v3,sign_flip,0.5,fltrust,1024,-24.534867148460886
simple_adversary_v3,sign_flip,0.5,flame,42,-20.530310580824743
simple_adversary_v3,sign_flip,0.5,flame,123,-19.467783992392377
simple_adversary_v3,sign_flip,0.5,flame,456,-19.45372754617639
simple_adversary_v3,sign_flip,0.5,flame,789,-21.08707008993711
simple_adversary_v3,sign_flip,0.5,flame,1024,-20.305983858398974
simple_adversary_v3,sign_flip,0.5,foolsgold,42,-23.02731747126019
simple_adversary_v3,sign_flip,0.5,foolsgold,123,-26.20187526371149
simple_adversary_v3,sign_flip,0.5,foolsgold,456,-21.81262025186404
simple_adversary_v3,sign_flip,0.5,foolsgold,789,-20.314994124243743
simple_adversary_v3,sign_flip,0.5,foolsgold,1024,-25.530916466436302
simple_adversary_v3,sign_flip,0.5,trust_weighted,42,-23.04546973222713
simple_adversary_v3,sign_flip,0.5,trust_weighted,123,-27.47370505321361
simple_adversary_v3,sign_flip,0.5,trust_weighted,456,-25.669609047849114
simple_adversary_v3,sign_flip,0.5,trust_weighted,789,-24.408545019313728
simple_adversary_v3,sign_flip,0.5,trust_weighted,1024,-36.94184904564078
simple_adversary_v3,normalized,0.5,fedavg,42,-22.447337566976064
simple_adversary_v3,normalized,0.5,fedavg,123,-21.57203785273033
simple_adversary_v3,normalized,0.5,fedavg,456,-22.105579906832567
simple_adversary_v3,normalized,0.5,fedavg,789,-22.41463144703679
simple_adversary_v3,normalized,0.5,fedavg,1024,-23.25074596296285
simple_adversary_v3,normalized,0.5,trimmed_mean,42,-27.797394017260867
simple_adversary_v3,normalized,0.5,trimmed_mean,123,-32.17563551059983
simple_adversary_v3,normalized,0.5,trimmed_mean,456,-27.51851171286228
simple_adversary_v3,normalized,0.5,trimmed_mean,789,-23.701635555884454
simple_adversary_v3,normalized,0.5,trimmed_mean,1024,-32.6811423191485
simple_adversary_v3,normalized,0.5,geometric_median,42,-24.065229064108607
simple_adversary_v3,normalized,0.5,geometric_median,123,-22.830883297731525
simple_adversary_v3,normalized,0.5,geometric_median,456,-22.98639798858082
simple_adversary_v3,normalized,0.5,geometric_median,789,-22.546541971670123
simple_adversary_v3,normalized,0.5,geometric_median,1024,-25.64573012018101
simple_adversary_v3,normalized,0.5,krum,42,-24.670406641378264
simple_adversary_v3,normalized,0.5,krum,123,-23.76965532105397
simple_adversary_v3,normalized,0.5,krum,456,-23.50382381754285
simple_adversary_v3,normalized,0.5,krum,789,-22.963398324140336
simple_adversary_v3,normalized,0.5,krum,1024,-26.86368754865965
simple_adversary_v3,normalized,0.5,multi_krum,42,-24.188984215984483
simple_adversary_v3,normalized,0.5,multi_krum,123,-23.81644254591436
simple_adversary_v3,normalized,0.5,multi_krum,456,-22.826370445804777
simple_adversary_v3,normalized,0.5,multi_krum,789,-22.30943627449704
simple_adversary_v3,normalized,0.5,multi_krum,1024,-25.710670760262943
simple_adversary_v3,normalized,0.5,fltrust,42,-23.280407362305624
simple_adversary_v3,normalized,0.5,fltrust,123,-22.72211904580732
simple_adversary_v3,normalized,0.5,fltrust,456,-23.09272512152329
simple_adversary_v3,normalized,0.5,fltrust,789,-22.4521132242116
simple_adversary_v3,normalized,0.5,fltrust,1024,-24.398281959484105
simple_adversary_v3,normalized,0.5,flame,42,-41.652880683755
simple_adversary_v3,normalized,0.5,flame,123,-35.80545391196604
simple_adversary_v3,normalized,0.5,flame,456,-28.3673455534967
simple_adversary_v3,normalized,0.5,flame,789,-28.45288822422072
simple_adversary_v3,normalized,0.5,flame,1024,-58.64144671858956
simple_adversary_v3,normalized,0.5,foolsgold,42,-13.707918731810082
simple_adversary_v3,normalized,0.5,foolsgold,123,-17.126439574047172
simple_adversary_v3,normalized,0.5,foolsgold,456,-14.962096123011795
simple_adversary_v3,normalized,0.5,foolsgold,789,-13.606128215954074
simple_adversary_v3,normalized,0.5,foolsgold,1024,-15.522076237459896
simple_adversary_v3,normalized,0.5,trust_weighted,42,-20.067228502417525
simple_adversary_v3,normalized,0.5,trust_weighted,123,-20.74568044662264
simple_adversary_v3,normalized,0.5,trust_weighted,456,-16.128633033472184
simple_adversary_v3,normalized,0.5,trust_weighted,789,-23.70327683580338
simple_adversary_v3,normalized,0.5,trust_weighted,1024,-21.00386927248086
simple_adversary_v3,adaptive_strategic,0.5,fedavg,42,-19.041108106879918
simple_adversary_v3,adaptive_strategic,0.5,fedavg,123,-18.132376165581853
simple_adversary_v3,adaptive_strategic,0.5,fedavg,456,-16.41130924137765
simple_adversary_v3,adaptive_strategic,0.5,fedavg,789,-17.727850075668727
simple_adversary_v3,adaptive_strategic,0.5,fedavg,1024,-18.40191149672144
simple_adversary_v3,adaptive_strategic,0.5,trimmed_mean,42,-16.824053707729796
simple_adversary_v3,adaptive_strategic,0.5,trimmed_mean,123,-22.414198523957573
simple_adversary_v3,adaptive_strategic,0.5,trimmed_mean,456,-17.26203050890258
simple_adversary_v3,adaptive_strategic,0.5,trimmed_mean,789,-19.08563785733085
simple_adversary_v3,adaptive_strategic,0.5,trimmed_mean,1024,-18.889675619292557
